[2026-06-02T21:03:01] === BenchmarkIQ Tushare 管道启动 ===
[2026-06-02T21:03:01] 缓存目录: /Users/jinkunxiao/Documents/业务/银行财报分析/outputs/vqa_template/data_tushare_cache
[2026-06-02T21:03:01] 接口间隔: 200ms
[2026-06-02T21:03:01] → 拉取 stock_basic（银行业全列表）...
[2026-06-02T21:03:01]   ✓ 已存 42 家银行
[2026-06-02T21:03:01] 待处理银行数: 42
[2026-06-02T21:03:01] → balancesheet: 已缓存 0 行，需新拉 1008 组 (ts_code, period)
[2026-06-02T21:03:21]   [2/42] 600000.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:21]   [3/42] 600015.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:21]   [4/42] 600016.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:22]   [5/42] 600036.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:22]   [6/42] 601988.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:22]   [7/42] 601398.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:23]   [8/42] 601166.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:23]   [9/42] 601998.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:23]   [10/42] 601328.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:24]   [11/42] 002142.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:25]   [12/42] 601009.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:25]   [13/42] 601169.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:25]   [14/42] 601939.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:26]   [15/42] 601288.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:26]   [16/42] 601818.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:26]   [17/42] 600908.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:27]   [18/42] 002839.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:27]   [19/42] 601229.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:27]   [20/42] 603323.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:29]   [21/42] 600919.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:29]   [22/42] 002807.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:29]   [23/42] 601128.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:30]   [24/42] 601997.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:30]   [25/42] 600926.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:30]   [26/42] 601838.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:30]   [27/42] 001227.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:31]   [28/42] 002958.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:31]   [29/42] 601528.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:31]   [30/42] 002966.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:33]   [31/42] 601860.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:33]   [32/42] 002948.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:33]   [33/42] 002936.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:34]   [34/42] 600928.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:34]   [35/42] 601916.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:34]   [36/42] 601187.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:35]   [37/42] 601577.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:35]   [38/42] 601077.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:35]   [39/42] 601963.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:35]   [40/42] 601665.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:37]   [41/42] 601658.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:37]   [42/42] 601825.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:38]   ✓ income 新增 1333 行，总计 1333 行
[2026-06-02T21:03:38] → cashflow: 已缓存 0 行，需新拉 1008 组 (ts_code, period)
[2026-06-02T21:03:38]   [1/42] 000001.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:38]   [2/42] 600000.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:38]   [3/42] 600015.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:39]   [4/42] 600016.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:39]   [5/42] 600036.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:39]   [6/42] 601988.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:39]   [7/42] 601398.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:40]   [8/42] 601166.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:40]   [9/42] 601998.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:40]   [10/42] 601328.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:42]   [11/42] 002142.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:42]   [12/42] 601009.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:42]   [13/42] 601169.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:43]   [14/42] 601939.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:43]   [15/42] 601288.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:43]   [16/42] 601818.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:44]   [17/42] 600908.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:44]   [18/42] 002839.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:44]   [19/42] 601229.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:45]   [20/42] 603323.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:46]   [21/42] 600919.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:46]   [22/42] 002807.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:47]   [23/42] 601128.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:47]   [24/42] 601997.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:47]   [25/42] 600926.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:48]   [26/42] 601838.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:48]   [27/42] 001227.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:48]   [28/42] 002958.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:49]   [29/42] 601528.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:49]   [30/42] 002966.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:50]   [31/42] 601860.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:50]   [32/42] 002948.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:51]   [33/42] 002936.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:51]   [34/42] 600928.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:51]   [35/42] 601916.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:52]   [36/42] 601187.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:52]   [37/42] 601577.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:52]   [38/42] 601077.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:53]   [39/42] 601963.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:53]   [40/42] 601665.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:54]   [41/42] 601658.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:55]   [42/42] 601825.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:55]   ✓ cashflow 新增 1296 行，总计 1296 行
[2026-06-02T21:03:55] → fina_indicator: 已缓存 0 行，需新拉 1008 组 (ts_code, period)
[2026-06-02T21:03:55]   [1/42] 000001.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:55]   [2/42] 600000.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:56]   [3/42] 600015.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:56]   [4/42] 600016.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:56]   [5/42] 600036.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:57]   [6/42] 601988.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:57]   [7/42] 601398.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:57]   [8/42] 601166.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:58]   [9/42] 601998.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:58]   [10/42] 601328.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:59]   [11/42] 002142.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:59]   [12/42] 601009.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:00]   [13/42] 601169.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:00]   [14/42] 601939.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:01]   [15/42] 601288.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:01]   [16/42] 601818.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:01]   [17/42] 600908.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:01]   [18/42] 002839.SZ (20200331-20251231, 24 期)
[2026-06-02T21:04:02]   [19/42] 601229.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:02]   [20/42] 603323.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:03]   [21/42] 600919.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:04]   [22/42] 002807.SZ (20200331-20251231, 24 期)
[2026-06-02T21:04:04]   [23/42] 601128.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:04]   [24/42] 601997.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:05]   [25/42] 600926.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:05]   [26/42] 601838.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:05]   [27/42] 001227.SZ (20200331-20251231, 24 期)
[2026-06-02T21:04:06]   [28/42] 002958.SZ (20200331-20251231, 24 期)
[2026-06-02T21:04:06]   [29/42] 601528.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:06]   [30/42] 002966.SZ (20200331-20251231, 24 期)
[2026-06-02T21:04:08]   [31/42] 601860.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:08]   [32/42] 002948.SZ (20200331-20251231, 24 期)
[2026-06-02T21:04:08]   [33/42] 002936.SZ (20200331-20251231, 24 期)
[2026-06-02T21:04:09]   [34/42] 600928.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:09]   [35/42] 601916.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:09]   [36/42] 601187.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:10]   [37/42] 601577.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:10]   [38/42] 601077.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:10]   [39/42] 601963.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:10]   [40/42] 601665.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:12]   [41/42] 601658.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:12]   [42/42] 601825.SH (20200331-20251231, 24 期)
[2026-06-02T21:04:12]   ✓ fina_indicator 新增 1633 行，总计 1633 行
[2026-06-02T21:04:12] → daily_basic: 需新拉 3024 组 (ts_code, month_end)
[2026-06-02T21:04:12]   [1/42] 000001.SZ 月末估值 (20200131-20251231)
[2026-06-02T21:04:13]   [2/42] 600000.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:13]   [3/42] 600015.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:14]   [4/42] 600016.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:14]   [5/42] 600036.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:14]   [6/42] 601988.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:15]   [7/42] 601398.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:15]   [8/42] 601166.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:16]   [9/42] 601998.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:16]   [10/42] 601328.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:17]   [11/42] 002142.SZ 月末估值 (20200131-20251231)
[2026-06-02T21:04:18]   [12/42] 601009.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:18]   [13/42] 601169.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:19]   [14/42] 601939.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:19]   [15/42] 601288.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:19]   [16/42] 601818.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:20]   [17/42] 600908.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:20]   [18/42] 002839.SZ 月末估值 (20200131-20251231)
[2026-06-02T21:04:21]   [19/42] 601229.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:21]   [20/42] 603323.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:23]   [21/42] 600919.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:23]   [22/42] 002807.SZ 月末估值 (20200131-20251231)
[2026-06-02T21:04:23]   [23/42] 601128.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:24]   [24/42] 601997.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:24]   [25/42] 600926.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:25]   [26/42] 601838.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:25]   [27/42] 001227.SZ 月末估值 (20200131-20251231)
[2026-06-02T21:04:25]   [28/42] 002958.SZ 月末估值 (20200131-20251231)
[2026-06-02T21:04:26]   [29/42] 601528.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:26]   [30/42] 002966.SZ 月末估值 (20200131-20251231)
[2026-06-02T21:04:27]   [31/42] 601860.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:28]   [32/42] 002948.SZ 月末估值 (20200131-20251231)
[2026-06-02T21:04:28]   [33/42] 002936.SZ 月末估值 (20200131-20251231)
[2026-06-02T21:04:29]   [34/42] 600928.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:29]   [35/42] 601916.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:29]   [36/42] 601187.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:30]   [37/42] 601577.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:30]   [38/42] 601077.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:30]   [39/42] 601963.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:31]   [40/42] 601665.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:32]   [41/42] 601658.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:33]   [42/42] 601825.SH 月末估值 (20200131-20251231)
[2026-06-02T21:04:33]   ✓ daily_basic 新增 2889 行
[2026-06-02T21:04:33] → 拉 LPR 2020-2025...
[2026-06-02T21:04:33]   ⚠ Exception: 请指定正确的接口名
[2026-06-02T21:04:35]   ⚠ Exception: 请指定正确的接口名
[2026-06-02T21:04:37]   ⚠ Exception: 请指定正确的接口名
[2026-06-02T21:04:37]   ✗ 最终失败: 请指定正确的接口名
[2026-06-02T21:04:37] → 拉 SHIBOR 2020-2025...
[2026-06-02T21:04:38]   ✓ SHIBOR 已存 1482 行
[2026-06-02T21:04:38] === 全部完成 ===
[2026-06-02T21:13:48] === BenchmarkIQ Tushare 管道启动 ===
[2026-06-02T21:13:48] 缓存目录: /Users/jinkunxiao/Documents/业务/银行财报分析/outputs/vqa_template/data_tushare_cache
[2026-06-02T21:13:48] 接口间隔: 200ms
[2026-06-02T21:13:48] → 探测 H 股接口权限...
[2026-06-02T21:13:49]   ✓ hk_basic 可用（2743 行示例）
[2026-06-02T21:13:49]   ✓ hk_daily 可用（20 行示例）
[2026-06-02T21:13:49]   ✓ hk_mins 可用（42 行示例）
[2026-06-02T21:13:49]   ✓ us_income (代替探测) 可用（5 行示例）
[2026-06-02T21:15:47] === BenchmarkIQ Tushare 管道启动 ===
[2026-06-02T21:15:47] 缓存目录: /Users/jinkunxiao/Documents/业务/银行财报分析/outputs/vqa_template/data_tushare_cache
[2026-06-02T21:15:47] 接口间隔: 200ms
[2026-06-02T21:15:47] === H 股大陆银行拉取（15 家）===
[2026-06-02T21:15:47] → 拉取 hk_basic（港股全列表，按 seed 过滤银行）...
[2026-06-02T21:15:47]   ⚠ Tushare hk_basic 缺这些: {'02066.HK', '00416.HK'}（补充 seed 行）
[2026-06-02T21:15:48]   ✓ 已存 15 家 H 股银行
[2026-06-02T21:15:48] → hk_daily: 需新拉 90 组 (ts_code, year)
[2026-06-02T21:15:48]   [1/15] 01216.HK (20200101-20251231)
[2026-06-02T21:15:48]   ⚠ 触发限流，等待 2s 后重试 (1/3)
[2026-06-02T21:15:50]   ⚠ 触发限流，等待 4s 后重试 (2/3)
[2026-06-02T21:15:54]   ⚠ 触发限流，等待 8s 后重试 (3/3)
[2026-06-02T21:16:02]   ✗ 最终失败: 抱歉，您访问接口(hk_daily)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。
[2026-06-02T21:16:02]   [2/15] 01551.HK (20200101-20251231)
[2026-06-02T21:16:02]   ⚠ 触发限流，等待 2s 后重试 (1/3)
[2026-06-02T21:16:04]   ⚠ 触发限流，等待 4s 后重试 (2/3)
[2026-06-02T21:16:08]   ⚠ 触发限流，等待 8s 后重试 (3/3)
[2026-06-02T21:16:16]   ✗ 最终失败: 抱歉，您访问接口(hk_daily)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。
[2026-06-02T21:16:16]   [3/15] 01578.HK (20200101-20251231)
[2026-06-02T21:16:16]   ⚠ 触发限流，等待 2s 后重试 (1/3)
[2026-06-02T21:16:18]   ⚠ 触发限流，等待 4s 后重试 (2/3)
[2026-06-02T21:16:22]   ⚠ 触发限流，等待 8s 后重试 (3/3)
[2026-06-02T21:16:30]   ✗ 最终失败: 抱歉，您访问接口(hk_daily)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。
[2026-06-02T21:16:30]   [4/15] 01916.HK (20200101-20251231)
[2026-06-02T21:16:31]   ⚠ 触发限流，等待 2s 后重试 (1/3)
[2026-06-02T21:16:33]   ⚠ 触发限流，等待 4s 后重试 (2/3)
[2026-06-02T21:16:37]   ⚠ 触发限流，等待 8s 后重试 (3/3)
[2026-06-02T21:16:45]   ✗ 最终失败: 抱歉，您访问接口(hk_daily)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。
[2026-06-02T21:16:45]   [5/15] 01983.HK (20200101-20251231)
[2026-06-02T21:16:45]   ⚠ 触发限流，等待 2s 后重试 (1/3)
[2026-06-02T21:16:47]   ⚠ 触发限流，等待 4s 后重试 (2/3)
[2026-06-02T21:16:51]   ⚠ 触发限流，等待 8s 后重试 (3/3)
[2026-06-02T21:16:59]   ✗ 最终失败: 抱歉，您访问接口(hk_daily)频率超限(1次/小时)，具体频次详情：https://tushare.pro/document/1?doc_id=108。
[2026-06-02T21:17:00]   [6/15] 02139.HK (20200101-20251231)
[2026-06-02T21:17:00]   ⚠ 触发限流，等待 2s 后重试 (1/3)
[2026-06-02T21:17:02]   ⚠ 触发限流，等待 4s 后重试 (2/3)
[2026-06-02T21:17:06]   ⚠ 触发限流，等待 8s 后重试 (3/3)
[2026-06-02T21:17:14]   ✗ 最终失败: 抱歉，您访问接口(hk_daily)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。
[2026-06-02T21:17:14]   [7/15] 03618.HK (20200101-20251231)
[2026-06-02T21:17:14]   ⚠ 触发限流，等待 2s 后重试 (1/3)
[2026-06-02T21:17:17]   ⚠ 触发限流，等待 4s 后重试 (2/3)
[2026-06-02T21:17:21]   ⚠ 触发限流，等待 8s 后重试 (3/3)
[2026-06-02T21:17:29]   ✗ 最终失败: 抱歉，您访问接口(hk_daily)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。
[2026-06-02T21:17:29]   [8/15] 03698.HK (20200101-20251231)
[2026-06-02T21:17:29]   ⚠ 触发限流，等待 2s 后重试 (1/3)
[2026-06-02T21:17:31]   ⚠ 触发限流，等待 4s 后重试 (2/3)
[2026-06-02T21:17:35]   ⚠ 触发限流，等待 8s 后重试 (3/3)
[2026-06-02T21:17:43]   ✗ 最终失败: 抱歉，您访问接口(hk_daily)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。
[2026-06-02T21:17:43]   [9/15] 06138.HK (20200101-20251231)
[2026-06-02T21:17:43]   ⚠ 触发限流，等待 2s 后重试 (1/3)
[2026-06-02T21:17:45]   ⚠ 触发限流，等待 4s 后重试 (2/3)
[2026-06-02T21:17:49]   ⚠ 触发限流，等待 8s 后重试 (3/3)
[2026-06-02T21:17:57]   ✗ 最终失败: 抱歉，您访问接口(hk_daily)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。
[2026-06-02T21:17:57]   [10/15] 06190.HK (20200101-20251231)
[2026-06-02T21:17:57]   ⚠ 触发限流，等待 2s 后重试 (1/3)
[2026-06-02T21:17:59]   ⚠ 触发限流，等待 4s 后重试 (2/3)
[2026-06-02T21:18:04]   ⚠ 触发限流，等待 8s 后重试 (3/3)
[2026-06-02T21:18:12]   ✗ 最终失败: 抱歉，您访问接口(hk_daily)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。
[2026-06-02T21:18:13]   [11/15] 06199.HK (20200101-20251231)
[2026-06-02T21:18:13]   ⚠ 触发限流，等待 2s 后重试 (1/3)
[2026-06-02T21:18:15]   ⚠ 触发限流，等待 4s 后重试 (2/3)
[2026-06-02T21:18:19]   ⚠ 触发限流，等待 8s 后重试 (3/3)
[2026-06-02T21:18:27]   ✗ 最终失败: 抱歉，您访问接口(hk_daily)频率超限(1次/分钟)，具体频次详情：https://tushare.pro/document/1?doc_id=108。
[2026-06-02T21:18:27]   [12/15] 09668.HK (20200101-20251231)
[2026-06-02T21:18:27]   ⚠ 触发限流，等待 2s 后重试 (1/3)
[2026-06-02T21:18:29]   ⚠ 触发限流，等待 4s 后重试 (2/3)
[2026-06-02T21:32:32] === BenchmarkIQ Tushare 管道启动 ===
[2026-06-02T21:32:32] 缓存目录: /Users/jinkunxiao/Documents/业务/银行财报分析/outputs/vqa_template/data_tushare_cache
[2026-06-02T21:32:32] 接口间隔: 200ms
[2026-06-02T21:32:32] === H 股大陆银行拉取（15 家）===
[2026-06-02T21:32:32] ✓ hk_stock_basic 已有缓存
[2026-06-02T21:32:32] → hk_daily: 需新拉 90 组 (ts_code, year)
[2026-06-02T21:32:32]   [1/15] 09668.HK (20200101-20251231)
[2026-06-02T21:32:32]   ⚠ 触发限流，等待 2s 后重试 (1/3)
[2026-06-02T21:32:35]   ⚠ 触发限流，等待 4s 后重试 (2/3)
[2026-06-02T21:32:39]   ⚠ 触发限流，等待 8s 后重试 (3/3)
