bank_id,bank_short_name,bank_full_name,aliases,bank_type,region,listed_place,stock_code,first_year,latest_year,available_years_count,latest_assets_万元,asset_scale_bucket,data_completeness,default_benchmark_eligible,notes
B047,西安,,,城市商业银行,中西,,,2020,2025,6,53816644.8,小型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B048,贵州,,,城市商业银行,中西,,,2020,2025,6,61038083.5,小型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B049,贵阳,,,城市商业银行,中西,,,2020,2025,6,74346194.2,小型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B052,重庆,,,城市商业银行,中西,,,2020,2025,6,103372568.1,中型样本,0.9744,True,股票代码、全称和上市地需后续补充或接入外部主数据
B001,上海,,,城市商业银行,华东,,,2020,2025,6,330875173.2,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B015,南京,,,城市商业银行,华东,,,2020,2025,6,302181988.7,中型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B016,厦门,,,城市商业银行,华东,,,2020,2025,6,45309873.3,小型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B020,宁波,,,城市商业银行,华东,,,2020,2025,6,362867100.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B033,杭州,,,城市商业银行,华东,,,2020,2025,6,236280562.2,中型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B035,江苏,,,城市商业银行,华东,,,2020,2025,6,493131604.6,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B045,苏州,,苏州银行,城市商业银行,华东,,,2020,2025,6,78942132.4001,中型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B005,中原,,,城市商业银行,华北,,,2020,2025,6,141382498.4,中型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B013,北京,,,城市商业银行,华北,,,2020,2025,6,493827300.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B018,天津,,,城市商业银行,华北,,,2020,2025,6,98240271.5,中型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B019,威海,,,城市商业银行,华北,,,2020,2025,6,50452049.6042,小型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B051,郑州,,,城市商业银行,华北,,,2020,2025,6,74367429.9,中型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B055,青岛,,,城市商业银行,华北,,,2020,2025,6,81496008.4,中型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B057,齐鲁,,,城市商业银行,华北,,,2020,2025,6,80438092.2,中型样本,0.9744,True,股票代码、全称和上市地需后续补充或接入外部主数据
B054,长沙,,,城市商业银行,华南,,,2020,2025,6,126814903.5,中型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B004,中信银行,,,股份行,全国,,,2020,2025,6,1013102800.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B009,光大银行,,,股份行,全国,,,2020,2025,6,716531900.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B011,兴业银行,,,股份行,全国,,,2020,2025,6,1109425600.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B014,华夏银行,,,股份行,全国,,,2020,2025,6,473761900.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B024,平安银行,,,股份行,全国,,,2020,2025,6,592577700.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B030,招商银行,,,股份行,全国,,,2020,2025,6,1307052300.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B034,民生银行,,,股份行,全国,,,2020,2025,6,783256700.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B039,浙商银行,,,股份行,全国,,,2020,2025,6,348109200.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B040,浦发银行,,,股份行,全国,,,2020,2025,6,1008174600.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B041,渤海银行,,,股份行,全国,,,2020,2025,6,193440953.2,中型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
