bank,type,region,year,roa,roe,revenue,netProfit,coreRevenueGrowth,revenueGrowth,netProfitGrowth,ppopGrowth,costIncomeRatio,feeAssetRatio,trueCoreNonInterest,volatileIncomeShare,cashProfitRatio,nim,nimGapBp,nimGapPoint,earningAssetYield,interestLiabilityCost,realLoanDepositSpread,timeDepositShare,corporateDemandDepositShare,personalDemandDepositShare,corporateTimeDeposit,personalTimeDeposit,npl,provisionCoverage,overdueRatio,specialMentionRatio,overdueNplDeviation,hiddenNplExposure,personalLoanNpl,corporateLoanNpl,housingLoanNpl,consumerLoanNpl,businessLoanNpl,creditCardLoanNpl,housingLoanShare,consumerLoanShare,businessLoanShare,retailRiskMax,retailRiskSpread,pb,pbMid,peTtm,divYield,divYieldTtm,totalMarketValue,turnoverRate,cet1,cet1Buffer,carBuffer,rwaDensity,estimatedRwa,estimatedRwaGrowth,rwaProfitGrowthGap,rwaAssetGrowthGap,pbChange,bondInvestment,fundInvestment,trustWmInvestment,tradAsset,fvociAssets,acAssets,htmInvest,afaAssets,debtInvestment,otherDebtInvestment,investmentAssetRatio,fairValueChgGain,fxGain,investIncome,otherNonInterestIncome,otherAssetImpairLoss,operatingCashFlow,cashflowInvAct,cashflowFncAct,depositGrowthCF,loanIssuanceCF,centralBankAdj,liquidityCoverageRatio,liquidityRatio,loanDepositRatio
交通银行,国有大行,全国,2024,0.6507,9.08,25982600.0,9422900.0,-0.18,0.87,1.05,1.14,29.9,0.247733,14.2072,,-60.860245,1.27,-3.0,,3.37,2.26,,66.239118,22.72569,10.995393,293829600.0,278028800.0,1.31,201.94,1.3804,1.5702,1.0537,2.88,1.08,1.47,0.58,,1.21,,53.2844,11.999,15.0278,1.21,0.63,0.6054,0.5903,6.2548,4.8005,4.8263,57702138.6032,0.3665,10.24,274.0,552.0,63.207,941830212.0,6.443468,5.393468,0.467531,0.1246,382456800.0,,,65615200.0,,,,,,,25.667006,,,2712500.0,,,-5734800.0,-9808900.0,4252000.0,,,,140.69,73.34,
交通银行,国有大行,全国,2025,0.6339,8.38,26507100.0,9651400.0,2.18,2.02,2.42,2.94,29.3,0.245575,14.4048,,137.224651,1.2,-3.0,,2.92,1.84,,68.593199,20.319418,11.060774,322377700.0,304804900.0,1.28,208.38,1.4573,1.6533,1.1385,2.93,1.58,1.19,1.01,,1.94,,50.8795,13.9586,16.3056,1.94,0.93,0.5642,0.7132,6.7514,3.8053,4.155,64063743.5617,0.3284,11.43,393.0,546.0,64.067,996138471.0,5.766247,3.346247,1.419671,-0.0412,406252600.0,,,,,,,,,,26.128278,,,,,,13244100.0,,,,,,123.02,75.88,
农业银行,国有大行,全国,2020,0.831,11.35,65796100.0,21640000.0,,,,,29.23,0.274012,11.3297,,-28.158965,2.2,,,3.75,1.71,,42.471373,26.043015,29.20688,247771000.0,606216700.0,1.57,260.64,1.2912,2.0107,0.8224,3.58,0.62,2.37,0.38,2.04,0.85,,74.9759,3.1655,6.1154,2.04,1.66,0.5994,0.6496,5.5852,5.5383,5.793,109894672.6361,0.0884,11.04,354.0,609.0,62.4358,1698567812.0,,,,,718594000.0,4336300.0,,58306900.0,,,,,,,26.573389,,,340700.0,,,-6093600.0,-46926000.0,26980300.0,,,,116.3,,
农业银行,国有大行,全国,2021,0.8598,11.57,71991500.0,24193600.0,6.24,9.42,11.8,7.44,30.46,0.276338,11.1581,,99.040655,2.12,-8.0,,3.7,1.74,,45.2054,24.927516,27.516955,276150600.0,700080500.0,1.43,299.73,1.0792,1.4769,0.7547,2.91,0.51,2.0,0.36,1.33,0.64,,73.4568,2.7143,6.5788,1.33,0.97,0.5143,0.5454,4.3361,6.1871,6.2959,102895011.9587,0.0359,11.44,394.0,663.0,61.4085,1785094571.0,5.094101,-6.705899,-1.757966,-0.0851,761589200.0,4358800.0,,46024100.0,,,,,,,26.349166,,,2704400.0,,,23961500.0,-33123700.0,5400300.0,,,,121.1,,
农业银行,国有大行,全国,2022,0.8213,11.28,72486800.0,25868800.0,1.96,0.69,6.92,-1.0,31.63,0.239575,11.2134,,511.041486,1.9,-23.0,,3.57,1.84,,49.1804,22.114133,26.310085,368604200.0,847992700.0,1.37,302.6,1.0792,1.4592,0.7877,2.83,0.65,2.0,0.51,1.25,0.65,,70.6861,2.7876,7.6353,1.25,0.74,0.466,0.4991,4.0418,6.3608,7.1065,101845062.857,0.1288,11.15,365.0,670.0,58.5379,1986047093.0,11.257248,4.337248,-5.455924,-0.0483,889697500.0,5343200.0,,52205700.0,,,,,,,26.380954,,,1705700.0,,,132200300.0,-105199000.0,29821700.0,,,,132.1,,
农业银行,国有大行,全国,2023,0.7312,10.91,69482800.0,26982000.0,-2.89,-4.14,4.3,-7.52,33.86,0.20087,11.527,,676.481358,1.6,-28.0,,3.41,1.96,,54.578688,19.4744,23.439927,506810500.0,1045368900.0,1.33,303.87,1.0837,1.4187,0.8148,2.75,0.73,1.83,0.55,1.04,0.76,,64.0229,4.4081,9.2468,1.04,0.49,0.5454,0.5403,4.736,5.6813,6.1044,127393824.3298,0.1014,10.72,322.0,664.0,56.0147,2233471995.0,12.458159,8.158159,-5.065827,0.0794,1054603100.0,5814800.0,,54740700.0,,,,,,,26.594894,,,2774900.0,,,182528200.0,-133120700.0,30744000.0,,,,123.93,,
农业银行,国有大行,全国,2024,0.6802,10.46,71055500.0,28267100.0,0.68,2.26,4.76,1.4,34.4,0.174769,10.6349,,478.663181,1.42,-18.0,,3.12,1.85,,56.232079,17.570821,23.308335,498910800.0,1176056100.0,1.3,299.61,1.1792,1.3988,0.9071,2.7,1.03,1.58,0.73,1.55,1.39,,56.4478,5.565,28.2598,1.55,0.82,0.7347,0.6173,6.7623,4.161,4.3239,186890940.0882,0.145,11.42,392.0,769.0,52.2905,2260941726.0,1.229912,-3.530088,-7.209751,0.1893,1317106300.0,6075500.0,,51330600.0,,,,,,,30.602194,,,3113900.0,,,135304200.0,-224353700.0,22562800.0,,,,131.03,,
农业银行,国有大行,全国,2025,0.6346,10.16,72530600.0,29200300.0,0.22,2.08,3.3,0.82,35.18,0.180559,12.1445,,723.590854,1.28,-11.0,,2.69,1.53,,57.874188,16.219475,23.020586,523241000.0,1337165700.0,1.27,292.55,1.2537,1.3943,0.9872,2.66,1.34,1.37,0.92,1.46,1.85,,51.935,6.6367,32.2588,1.85,0.93,0.9815,0.7803,9.3144,3.0065,3.1901,268786970.0145,0.0899,11.08,358.0,743.0,50.8591,2481143335.0,9.739376,6.439376,-3.088511,0.2468,1560861200.0,6895600.0,,,,,,,,,32.136257,,,,,,211290700.0,,,,,,133.5,,
工商银行,国有大行,全国,2020,1.0013,11.95,88266500.0,31768500.0,,,,,22.3,0.393507,14.8658,,490.302029,2.15,,,3.64,1.67,,48.070665,29.980394,20.897784,548970000.0,646392900.0,1.58,180.68,1.4363,2.2116,0.9091,3.79,0.56,2.29,0.28,2.0,1.3,,80.5072,2.582,7.3312,2.0,1.72,0.6892,0.6939,6.1499,5.022,5.2665,177846722.2874,0.115,13.18,568.0,638.0,60.3375,2011958531.0,,,,,805642400.0,22494300.0,,78448300.0,,,,,,,24.835365,,,2996500.0,,,155761600.0,-113509700.0,-4694900.0,,,,123.28,,
工商银行,国有大行,全国,2021,1.0223,12.15,94276200.0,35021600.0,5.88,6.81,10.24,4.46,23.97,0.378217,14.11,,103.045549,2.11,-5.0,,3.56,1.64,,49.485613,28.884868,20.669584,579835300.0,710738600.0,1.42,205.84,1.2334,1.9937,0.8686,3.41,0.49,2.09,0.24,1.65,0.97,,80.0863,2.3577,8.8415,1.65,1.41,0.5857,0.6696,4.867,5.676,5.7452,165016097.0322,0.0356,13.31,581.0,752.0,61.6873,2169627636.0,7.836598,-2.403402,2.359549,-0.1035,882293300.0,11219400.0,,62322300.0,,,,,,,25.404537,,,3399900.0,,,36088200.0,-67455600.0,-1155300.0,,,,112.2,,
工商银行,国有大行,全国,2022,0.9656,11.43,91798900.0,36103800.0,-0.09,-2.63,3.09,-4.13,25.01,0.326347,14.0813,,389.060708,1.92,-19.0,,3.55,1.82,,51.498693,27.455387,20.367835,659489800.0,855391900.0,1.38,209.47,1.2236,1.9456,0.8867,3.33,0.6,1.96,0.39,1.7,0.91,,78.0907,2.8456,11.2916,1.7,1.31,0.5062,0.57,4.2689,6.129,6.7581,154680315.5766,0.1107,14.04,654.0,876.0,56.1172,2222782451.0,2.449951,-0.640049,-10.169041,-0.0795,1009229300.0,15648100.0,,71487900.0,,,,,,,25.874433,,,4022000.0,,,140465700.0,-91062100.0,-6478900.0,,,,118.27,,
工商银行,国有大行,全国,2023,0.8662,10.66,84307000.0,36511600.0,-5.9,-8.16,1.13,-10.78,26.96,0.267035,14.1574,,388.096386,1.61,-32.0,,3.45,2.04,,58.585918,22.332997,18.443885,884323700.0,1048172700.0,1.36,213.97,1.2666,1.8504,0.9313,3.21,0.7,1.81,0.44,1.34,0.86,,72.6686,3.7936,15.5673,1.34,0.9,0.516,0.5323,4.6889,6.136,6.3493,170362190.8885,0.0668,13.72,622.0,860.0,55.1367,2464450262.0,10.872311,9.742311,-1.971582,0.0098,1139381500.0,16674200.0,,81195700.0,,,,,,,25.864234,,,4587600.0,,,141700200.0,-89185200.0,28544400.0,,,,122.03,,
工商银行,国有大行,全国,2024,0.7848,9.88,82180300.0,36694600.0,-3.56,-2.52,0.5,-4.06,28.04,0.224074,13.3118,,157.841753,1.42,-18.0,,3.17,1.94,,59.592135,20.883281,18.857324,834911000.0,1207766500.0,1.34,214.91,1.4336,2.0237,1.0699,3.36,1.15,1.58,0.73,2.39,1.27,,67.9099,4.702,18.7322,2.39,1.66,0.6895,0.5799,6.7692,4.3858,4.4277,246633129.9056,0.1932,14.1,660.0,889.0,52.6753,2571702424.0,4.351971,3.851971,-4.876075,0.1735,1368028300.0,15969100.0,,101043900.0,,,,,,,28.34797,,,4093000.0,,,57919400.0,-147146800.0,41568300.0,,,,140.25,,
工商银行,国有大行,全国,2025,0.7249,9.45,83827000.0,37076600.0,-0.07,2.0,1.04,2.04,28.05,0.207883,13.262,,509.898427,1.28,-8.0,,2.68,1.53,,60.045709,20.428342,18.841514,883150600.0,1326959800.0,1.31,213.6,1.5169,1.9493,1.1579,3.26,1.58,1.36,1.06,2.58,1.82,,65.2683,5.543,21.4406,2.58,1.52,0.7391,0.7288,7.7064,3.8638,3.8587,282630161.8716,0.1063,13.57,607.0,826.0,52.8565,2826650320.0,9.913585,8.873585,0.376796,0.0496,1634548300.0,20049400.0,,,,,,,,,30.939914,,,,,,189053000.0,,,,,,138.61,,
建设银行,国有大行,全国,2020,1.0214,12.12,75585800.0,27357900.0,,,,,25.12,0.407298,15.1592,,212.254961,2.19,,,3.77,1.73,,45.564937,31.245436,23.189627,359689800.0,567038500.0,1.56,213.59,1.0882,2.9538,0.6976,4.51,0.41,2.56,0.19,0.98,0.99,,80.4934,3.7564,1.8941,0.99,0.8,0.7128,0.7182,6.3509,4.8726,5.0955,157006893.8612,1.902,13.62,612.0,656.0,59.022,1660422626.0,,,,,656244800.0,21521900.0,,57795200.0,,,,,,,24.092158,,,1944400.0,,,58068500.0,-64215800.0,-8996000.0,,,,158.53,,
建设银行,国有大行,全国,2021,1.0411,12.55,82424600.0,30392800.0,5.27,9.05,11.09,6.56,27.43,0.401574,14.7398,,143.691269,2.13,-10.0,,3.71,1.77,,47.624915,30.037211,22.337874,394945900.0,654165400.0,1.42,239.96,0.9404,2.6917,0.6623,4.11,0.4,2.27,0.2,0.98,0.72,,80.8456,3.0102,2.8387,0.98,0.78,0.6048,0.709,4.9267,5.4608,5.5631,146506432.8068,0.5117,13.59,609.0,735.0,60.2237,1822006723.0,9.731504,-1.358496,2.189538,-0.108,725291800.0,26412500.0,,54527300.0,,,,,,,24.846461,,,2392100.0,,,43671800.0,-51854800.0,1612300.0,,,,134.7,,
建设银行,国有大行,全国,2022,0.9966,12.27,82247300.0,32316600.0,4.43,-0.22,6.33,-0.91,28.12,0.335487,14.1141,,302.760501,2.02,-12.0,,3.67,1.85,,50.518075,27.321045,22.16088,464753500.0,779064300.0,1.38,241.53,1.0346,2.5155,0.7497,3.9,0.55,2.08,0.37,0.89,0.65,,78.6095,3.6187,4.9865,0.89,0.52,0.5309,0.5888,4.4313,5.7904,6.4654,140756180.3246,0.42,13.69,619.0,792.0,57.1168,1976350706.0,8.471098,2.141098,-5.90036,-0.0739,815627000.0,22705800.0,,56771600.0,,,,,,,24.227929,,,1535200.0,,,97841900.0,-65166800.0,-642500.0,,,,148.96,,
建设银行,国有大行,全国,2023,0.9118,11.56,76973600.0,33246000.0,-3.45,-6.41,2.88,-8.31,28.2,0.302013,15.0371,,193.361607,1.7,-32.0,,3.45,1.95,,55.398232,24.096924,20.504844,560212200.0,947910700.0,1.37,239.85,1.1165,2.4433,0.815,3.81,0.66,1.88,0.42,0.86,0.95,,73.5916,4.9239,8.8667,0.95,0.53,0.5658,0.5585,4.9018,5.5914,5.9754,162757146.3434,0.7728,13.15,565.0,745.0,58.4457,2239922563.0,13.33629,10.45629,2.577034,0.0349,918617000.0,,,60230300.0,,,,,,,23.969241,,,1688700.0,,,64285000.0,-82125400.0,-4732700.0,,,,133.17,,
建设银行,国有大行,全国,2024,0.8525,10.69,75015100.0,33628200.0,-5.21,-2.54,1.15,-4.28,29.44,0.258627,13.9876,,100.51772,1.51,-17.0,,3.18,1.85,,56.395366,22.876128,20.728506,532008100.0,1060516500.0,1.34,233.6,1.284,1.8894,0.9582,3.23,0.98,1.65,0.63,1.09,1.59,,69.6658,6.0699,11.3808,1.59,0.96,0.7041,0.6081,6.5999,4.4255,4.5506,219759649.2102,1.2556,14.48,698.0,919.0,53.8685,2185506856.0,-2.429357,-3.579357,-8.290631,0.1383,1016486500.0,,,61250400.0,,,,,,,25.054417,,,2141700.0,,,33802300.0,-69263200.0,-719800.0,,,,125.73,,
建设银行,国有大行,全国,2025,0.7883,10.04,76104900.0,33979000.0,-1.69,1.45,1.04,1.64,29.15,0.241733,14.4941,,618.394302,1.34,-13.0,,2.7,1.5,,57.858953,21.474959,20.666088,562209300.0,1195580300.0,1.31,233.15,1.3268,1.7702,1.0128,3.08,1.19,1.53,0.89,1.07,1.58,,66.0991,7.6874,14.3638,1.58,0.69,0.7071,0.7648,7.2003,4.1194,6.1524,242765153.994,0.6975,14.63,713.0,919.0,51.9029,2368423565.0,8.369533,7.329533,-4.104033,0.003,1220892600.0,,,,,,,,,,26.755292,,,,,,210124200.0,,,,,,135.47,,
邮储银行,国有大行,全国,2020,0.5964,11.84,28620200.0,6431800.0,,,,,57.88,0.145289,5.7634,,251.519015,2.42,,,3.97,1.61,,63.603751,8.439395,27.931598,38569400.0,620240100.0,0.88,408.06,0.7939,0.5347,0.9022,1.42,0.98,0.95,0.47,1.18,,,59.0387,13.582,,1.18,0.71,0.7855,0.7612,6.9888,,4.3975,41575752.7316,0.6303,9.6,210.0,338.0,49.7882,565258646.0,,,,,316424900.0,23638900.0,5069300.0,41928100.0,,,,,,,30.399463,,,1078000.0,,,16177200.0,-12207500.0,1674700.0,,,,234.61,71.61,
邮储银行,国有大行,全国,2021,0.6393,11.86,31876200.0,7653200.0,7.97,11.38,18.99,8.3,59.01,0.174827,6.9039,,143.151884,2.36,-6.0,,3.95,1.65,,65.559751,7.912324,26.501485,40706500.0,703663700.0,0.82,418.61,0.8896,0.4712,1.0849,1.29,0.94,0.78,0.44,1.55,,,57.7535,13.2215,,1.55,1.11,0.7601,0.7836,6.2107,3.8144,4.0882,47115823.4786,0.9607,9.92,242.0,428.0,50.8465,640048714.0,13.231123,-5.758877,2.356628,-0.0254,324863000.0,44123800.0,5754100.0,75059700.0,,,,,,,29.769994,,,1617300.0,,,10955700.0,-18291700.0,5226300.0,,,,248.54,72.86,
邮储银行,国有大行,全国,2022,0.6404,11.89,33495600.0,8535500.0,3.65,5.08,11.53,-1.22,61.41,0.202129,8.4889,,556.398571,2.2,-12.0,,3.81,1.63,,67.658037,7.26867,25.051884,50539200.0,809697900.0,0.84,385.51,0.9464,0.5557,1.1267,1.4,1.13,0.57,0.57,2.14,,,55.8998,11.539,,2.14,1.57,0.6309,0.7612,4.9913,4.513,5.355,42681393.0335,0.9211,9.36,186.0,332.0,51.6428,726473951.0,13.502915,1.972915,1.750262,-0.1292,369314500.0,61659100.0,5419100.0,86378300.0,,,,,,,31.021821,,,2278100.0,,,47491400.0,-51150700.0,-3773700.0,,,,250.86,73.87,
邮储银行,国有大行,全国,2023,0.5801,10.85,34250700.0,8642400.0,2.66,2.25,1.25,-6.98,64.82,0.179644,8.2486,,304.703555,2.01,-19.0,,3.56,1.57,,71.117414,6.314333,22.549121,57721100.0,934790900.0,0.83,347.57,0.9098,0.6743,1.0961,1.51,1.12,0.55,0.55,1.81,,,52.3011,11.6492,,1.81,1.26,0.5575,0.6466,4.9563,5.2013,5.9287,43135068.0765,0.0992,9.53,203.0,373.0,52.0758,818976810.0,12.733128,11.483128,0.937324,-0.0734,408504300.0,62155000.0,5116400.0,88851600.0,,,,,,,30.252869,,,2423100.0,,,26333700.0,-24242800.0,19224700.0,,,,303.61,83.39,
邮储银行,国有大行,全国,2024,0.5286,9.84,34877500.0,8671600.0,0.44,1.83,0.34,3.68,64.23,0.147979,7.2488,,458.1346,1.87,-14.0,,3.32,1.47,,72.876665,5.914908,21.190399,75200300.0,1038904700.0,0.9,286.15,1.1872,0.9461,1.3191,1.85,1.28,0.54,0.64,1.34,,,49.9236,12.8648,,1.34,0.7,0.6778,0.623,6.5164,4.5405,4.5951,56323491.1896,0.3037,9.56,206.0,394.0,50.4289,861572715.0,5.201112,4.861112,-3.435696,0.1203,464591800.0,82535600.0,4500.0,102416500.0,,,,,,,32.024278,,,3171500.0,,,39727600.0,-48039900.0,-3077800.0,,,,287.28,94.13,
邮储银行,国有大行,全国,2025,0.49,8.67,35572800.0,8762300.0,-0.13,1.99,1.05,7.98,62.1,0.157183,8.2549,,470.263515,1.66,-20.0,,2.84,1.19,,74.230328,5.302975,20.447752,96955300.0,1130941700.0,0.95,227.94,1.3022,1.5718,1.3707,2.52,1.42,0.54,0.69,1.54,,,48.9896,13.2665,,1.54,0.85,0.6457,0.7781,7.504,3.7889,3.7976,65451804.1531,0.1604,10.53,303.0,402.0,51.0305,953354683.0,10.652841,9.602841,1.304492,-0.0321,508199200.0,79100900.0,887700.0,,,,,,,,31.484086,,,,,,41205900.0,,,,,,302.45,104.46,
中信银行,股份行,全国,2020,0.6946,10.11,19473100.0,4953200.0,,,,,26.65,0.383909,14.8081,,316.69022,2.26,,,4.47,2.29,,50.481925,42.094524,7.223524,167484600.0,61117700.0,1.64,171.68,2.0334,2.0122,1.2399,3.65,1.1,2.42,,,,,,10.5017,15.0206,,,0.5484,0.5492,5.6598,4.5009,4.6773,25005702.4357,0.0656,8.74,124.0,251.0,71.81,539376633.0,,,,,143671500.0,28680000.0,29485300.0,40563200.0,,,,,,,26.871585,,,1325400.0,,,15686300.0,-21824900.0,4597200.0,,,,135.14,57.97,
中信银行,股份行,全国,2021,0.7249,10.73,20455700.0,5637700.0,2.46,5.05,13.82,1.29,29.2,0.445984,17.5355,,-133.731841,2.05,-19.0,,4.24,2.25,,51.77172,41.456881,6.545941,178995600.0,66225500.0,1.39,180.07,1.8611,1.7482,1.3389,3.14,0.95,2.05,,,,,,11.6655,15.2196,,,0.4561,0.5177,4.2008,5.1734,5.4976,22607897.2207,0.0356,8.85,135.0,303.0,72.2119,580791574.0,7.678297,-6.141703,0.599192,-0.0923,160252900.0,39740700.0,28520700.0,49581000.0,,,,,,,28.411985,,,1741100.0,,,-7539400.0,-20678800.0,21991800.0,,,,146.59,59.09,
