bank,year,metric,status,missingReason,selectedSource,mainValue,tushareValue,scrapedValue,scrapedSource,relatedScrapedTables
中国银行,2020,totalMarketValue,available,,tushare_market,,93615317.6146,,,
中国银行,2020,turnoverRate,available,,tushare_market,,0.0526,,,
中国银行,2020,cet1,available,,main,11.28,,,,
中国银行,2020,cet1Buffer,available,,main,378.0,,,,
中国银行,2020,carBuffer,available,,main,572.0,,,,
中国银行,2020,rwaDensity,available,,main,61.9249,,,,
中国银行,2020,estimatedRwa,available,,main,1511131319.0,,,,
中国银行,2020,estimatedRwaGrowth,source_missing,三源均缺,,,,,,
中国银行,2020,rwaProfitGrowthGap,calculation_input_missing,计算输入不足,,,,,,
中国银行,2020,rwaAssetGrowthGap,calculation_input_missing,计算输入不足,,,,,,
中国银行,2020,pbChange,source_missing,三源均缺,,,,,,
中国银行,2020,bondInvestment,available,,main,536956400.0,,,,
中国银行,2020,fundInvestment,available,,main,6918300.0,,,,
中国银行,2020,trustWmInvestment,available,,main,1444700.0,,,,
中国银行,2020,tradAsset,available,,tushare,,50454900.0,,,
中国银行,2020,fvociAssets,source_missing,三源均缺,,,,,,
中国银行,2020,acAssets,source_missing,三源均缺,,,,,,
中国银行,2020,htmInvest,source_missing,三源均缺,,,,,,
中国银行,2020,afaAssets,source_missing,三源均缺,,,,,,
中国银行,2020,debtInvestment,source_missing,三源均缺,,,,,,
中国银行,2020,otherDebtInvestment,source_missing,三源均缺,,,,,,
中国银行,2020,investmentAssetRatio,available,,main,22.34672,,,,
中国银行,2020,fairValueChgGain,source_missing,三源均缺,,,,,,
中国银行,2020,fxGain,source_missing,三源均缺,,,,,,
中国银行,2020,investIncome,available,,tushare,,1674800.0,,,
中国银行,2020,otherNonInterestIncome,source_missing,三源均缺,,,,,,
中国银行,2020,otherAssetImpairLoss,source_missing,三源均缺,,,,,,
中国银行,2020,operatingCashFlow,available,,main,7302800.0,7302800.0,,,
中国银行,2020,cashflowInvAct,available,,tushare,,-1706600.0,,,
中国银行,2020,cashflowFncAct,available,,tushare,,12661700.0,,,
中国银行,2020,depositGrowthCF,source_missing,三源均缺,,,,,,
中国银行,2020,loanIssuanceCF,source_missing,三源均缺,,,,,,
中国银行,2020,centralBankAdj,source_missing,三源均缺,,,,,,
中国银行,2020,liquidityCoverageRatio,available,,main,139.79,,,,
中国银行,2020,liquidityRatio,source_missing,三源均缺,,,,,,
中国银行,2020,loanDepositRatio,source_missing,三源均缺,,,,,,
中国银行,2021,roa,available,,main,0.8893,,,,
中国银行,2021,roe,available,,main,11.28,,,,
中国银行,2021,revenue,available,,main,60555900.0,60555900.0,,,
中国银行,2021,netProfit,available,,main,22733900.0,22733900.0,,,
中国银行,2021,coreRevenueGrowth,available,,main,3.08,,,,
中国银行,2021,revenueGrowth,available,,main,7.08,,,,
中国银行,2021,netProfitGrowth,available,,main,10.85,,,,
中国银行,2021,ppopGrowth,available,,main,4.97,,,,
中国银行,2021,costIncomeRatio,available,,main,28.17,28.1726,,,
中国银行,2021,feeAssetRatio,available,,main,0.304711,0.3047,,,
中国银行,2021,trueCoreNonInterest,available,,main,13.4464,,,,
中国银行,2021,volatileIncomeShare,source_missing,三源均缺,,,,,,
中国银行,2021,cashProfitRatio,available,,main,370.925358,370.9254,,,
中国银行,2021,nim,available,,main,1.75,,,,
中国银行,2021,nimGapBp,available,,main,-10.0,,,,
中国银行,2021,nimGapPoint,calculation_input_missing,计算输入不足,,,,,,
中国银行,2021,earningAssetYield,available,,main,3.25,,,,
中国银行,2021,interestLiabilityCost,available,,main,1.63,,,,
中国银行,2021,realLoanDepositSpread,source_missing,三源均缺,,,,,,
中国银行,2021,timeDepositShare,available,,main,46.1356,,,,
中国银行,2021,corporateDemandDepositShare,available,,main,29.438976,,,,
中国银行,2021,personalDemandDepositShare,available,,main,19.460939,,,,
中国银行,2021,corporateTimeDeposit,available,,main,396852700.0,,,,
中国银行,2021,personalTimeDeposit,available,,main,429905000.0,,,,
中国银行,2021,npl,available,,main,1.33,,,,
中国银行,2021,provisionCoverage,available,,main,187.05,,,,
中国银行,2021,overdueRatio,available,,main,1.0701,,,,
中国银行,2021,specialMentionRatio,available,,main,1.3449,,,,
中国银行,2021,overdueNplDeviation,available,,main,0.8046,,,,
中国银行,2021,hiddenNplExposure,available,,main,2.68,,,,
中国银行,2021,personalLoanNpl,available,,main,0.52,,,,
中国银行,2021,corporateLoanNpl,available,,main,0.0,,,,
中国银行,2021,housingLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2021,consumerLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2021,businessLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2021,creditCardLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2021,housingLoanShare,source_missing,三源均缺,,,,,,
中国银行,2021,consumerLoanShare,source_missing,三源均缺,,,,,,
中国银行,2021,businessLoanShare,source_missing,三源均缺,,,,,,
中国银行,2021,retailRiskMax,calculation_input_missing,计算输入不足,,,,,,
中国银行,2021,retailRiskSpread,calculation_input_missing,计算输入不足,,,,,,
中国银行,2021,pb,available,,main,0.4825,,,,
中国银行,2021,pbMid,available,,main,0.5009,,,,
中国银行,2021,peTtm,available,,tushare_market,,4.2618,,,
中国银行,2021,divYield,available,,tushare_market,,6.2623,,,
中国银行,2021,divYieldTtm,available,,tushare_market,,6.459,,,
中国银行,2021,totalMarketValue,available,,tushare_market,,89788276.3285,,,
中国银行,2021,turnoverRate,available,,tushare_market,,0.0357,,,
中国银行,2021,cet1,available,,main,11.3,,,,
中国银行,2021,cet1Buffer,available,,main,380.0,,,,
中国银行,2021,carBuffer,available,,main,603.0,,,,
中国银行,2021,rwaDensity,available,,main,61.0982,,,,
中国银行,2021,estimatedRwa,available,,main,1632691470.0,,,,
中国银行,2021,estimatedRwaGrowth,available,,main,8.044314,,,,
中国银行,2021,rwaProfitGrowthGap,available,,main,-2.805686,,,,
中国银行,2021,rwaAssetGrowthGap,available,,main,-1.461818,,,,
中国银行,2021,pbChange,available,,main,-0.0618,,,,
中国银行,2021,bondInvestment,available,,main,589159100.0,,,,
中国银行,2021,fundInvestment,available,,main,9073300.0,,,,
中国银行,2021,trustWmInvestment,available,,main,1201000.0,,,,
中国银行,2021,tradAsset,available,,tushare,,56164200.0,,,
中国银行,2021,fvociAssets,source_missing,三源均缺,,,,,,
中国银行,2021,acAssets,source_missing,三源均缺,,,,,,
中国银行,2021,htmInvest,source_missing,三源均缺,,,,,,
中国银行,2021,afaAssets,source_missing,三源均缺,,,,,,
中国银行,2021,debtInvestment,source_missing,三源均缺,,,,,,
中国银行,2021,otherDebtInvestment,source_missing,三源均缺,,,,,,
中国银行,2021,investmentAssetRatio,available,,main,22.431863,,,,
中国银行,2021,fairValueChgGain,source_missing,三源均缺,,,,,,
中国银行,2021,fxGain,source_missing,三源均缺,,,,,,
中国银行,2021,investIncome,available,,tushare,,2383500.0,,,
中国银行,2021,otherNonInterestIncome,source_missing,三源均缺,,,,,,
中国银行,2021,otherAssetImpairLoss,source_missing,三源均缺,,,,,,
中国银行,2021,operatingCashFlow,available,,main,84325800.0,84325800.0,,,
中国银行,2021,cashflowInvAct,available,,tushare,,-39556100.0,,,
中国银行,2021,cashflowFncAct,available,,tushare,,7434400.0,,,
中国银行,2021,depositGrowthCF,source_missing,三源均缺,,,,,,
中国银行,2021,loanIssuanceCF,source_missing,三源均缺,,,,,,
中国银行,2021,centralBankAdj,source_missing,三源均缺,,,,,,
中国银行,2021,liquidityCoverageRatio,available,,main,127.61,,,,
中国银行,2021,liquidityRatio,source_missing,三源均缺,,,,,,
中国银行,2021,loanDepositRatio,source_missing,三源均缺,,,,,,
中国银行,2022,roa,available,,main,0.8538,,,,
中国银行,2022,roe,available,,main,10.81,,,,
中国银行,2022,revenue,available,,main,61800900.0,61800900.0,,,
中国银行,2022,netProfit,available,,main,23750400.0,23750400.0,,,
中国银行,2022,coreRevenueGrowth,available,,main,5.2,,,,
中国银行,2022,revenueGrowth,available,,main,2.06,,,,
中国银行,2022,netProfitGrowth,available,,main,4.47,,,,
中国银行,2022,ppopGrowth,available,,main,2.4,,,,
中国银行,2022,costIncomeRatio,available,,main,27.88,27.8816,,,
中国银行,2022,feeAssetRatio,available,,main,0.249873,0.2499,,,
中国银行,2022,trueCoreNonInterest,available,,main,11.6904,,,,
中国银行,2022,volatileIncomeShare,source_missing,三源均缺,,,,,,
中国银行,2022,cashProfitRatio,available,,main,-4.773393,-4.7734,,,
中国银行,2022,nim,available,,main,1.76,,,,
中国银行,2022,nimGapBp,available,,main,-1.0,,,,
中国银行,2022,nimGapPoint,calculation_input_missing,计算输入不足,,,,,,
中国银行,2022,earningAssetYield,available,,main,3.36,,,,
中国银行,2022,interestLiabilityCost,available,,main,1.75,,,,
中国银行,2022,realLoanDepositSpread,source_missing,三源均缺,,,,,,
中国银行,2022,timeDepositShare,available,,main,49.379603,,,,
中国银行,2022,corporateDemandDepositShare,available,,main,26.930889,,,,
中国银行,2022,personalDemandDepositShare,available,,main,18.843263,,,,
中国银行,2022,corporateTimeDeposit,available,,main,446232800.0,,,,
中国银行,2022,personalTimeDeposit,available,,main,538403400.0,,,,
中国银行,2022,npl,available,,main,1.32,,,,
中国银行,2022,provisionCoverage,available,,main,188.73,,,,
中国银行,2022,overdueRatio,available,,main,1.0973,,,,
中国银行,2022,specialMentionRatio,available,,main,1.346,,,,
中国银行,2022,overdueNplDeviation,available,,main,0.8313,,,,
中国银行,2022,hiddenNplExposure,available,,main,2.67,,,,
中国银行,2022,personalLoanNpl,available,,main,0.71,,,,
中国银行,2022,corporateLoanNpl,available,,main,0.0,,,,
中国银行,2022,housingLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2022,consumerLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2022,businessLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2022,creditCardLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2022,housingLoanShare,source_missing,三源均缺,,,,,,
中国银行,2022,consumerLoanShare,source_missing,三源均缺,,,,,,
中国银行,2022,businessLoanShare,source_missing,三源均缺,,,,,,
中国银行,2022,retailRiskMax,calculation_input_missing,计算输入不足,,,,,,
中国银行,2022,retailRiskSpread,calculation_input_missing,计算输入不足,,,,,,
中国银行,2022,pb,available,,main,0.4622,,,,
中国银行,2022,pbMid,available,,main,0.4921,,,,
中国银行,2022,peTtm,available,,tushare_market,,4.1141,,,
中国银行,2022,divYield,available,,tushare_market,,6.2342,,,
中国银行,2022,divYieldTtm,available,,tushare_market,,6.9937,,,
中国银行,2022,totalMarketValue,available,,tushare_market,,93026542.0322,,,
中国银行,2022,turnoverRate,available,,tushare_market,,0.0579,,,
中国银行,2022,cet1,available,,main,11.84,,,,
中国银行,2022,cet1Buffer,available,,main,434.0,,,,
中国银行,2022,carBuffer,available,,main,702.0,,,,
中国银行,2022,rwaDensity,available,,main,58.165,,,,
中国银行,2022,estimatedRwa,available,,main,1681775685.0,,,,
中国银行,2022,estimatedRwaGrowth,available,,main,3.006337,,,,
中国银行,2022,rwaProfitGrowthGap,available,,main,-1.463663,,,,
中国银行,2022,rwaAssetGrowthGap,available,,main,-5.194455,,,,
中国银行,2022,pbChange,available,,main,-0.0203,,,,
中国银行,2022,bondInvestment,available,,main,615023600.0,,,,
中国银行,2022,fundInvestment,available,,main,10242300.0,,,,
中国银行,2022,trustWmInvestment,available,,main,1785300.0,,,,
中国银行,2022,tradAsset,available,,tushare,,57196000.0,,,
中国银行,2022,fvociAssets,source_missing,三源均缺,,,,,,
中国银行,2022,acAssets,source_missing,三源均缺,,,,,,
中国银行,2022,htmInvest,source_missing,三源均缺,,,,,,
中国银行,2022,afaAssets,source_missing,三源均缺,,,,,,
中国银行,2022,debtInvestment,source_missing,三源均缺,,,,,,
中国银行,2022,otherDebtInvestment,source_missing,三源均缺,,,,,,
中国银行,2022,investmentAssetRatio,available,,main,21.686875,,,,
中国银行,2022,fairValueChgGain,source_missing,三源均缺,,,,,,
中国银行,2022,fxGain,source_missing,三源均缺,,,,,,
中国银行,2022,investIncome,available,,tushare,,2410400.0,,,
中国银行,2022,otherNonInterestIncome,source_missing,三源均缺,,,,,,
中国银行,2022,otherAssetImpairLoss,source_missing,三源均缺,,,,,,
中国银行,2022,operatingCashFlow,available,,main,-1133700.0,-1133700.0,,,
中国银行,2022,cashflowInvAct,available,,tushare,,-2224200.0,,,
中国银行,2022,cashflowFncAct,available,,tushare,,5304700.0,,,
中国银行,2022,depositGrowthCF,source_missing,三源均缺,,,,,,
中国银行,2022,loanIssuanceCF,source_missing,三源均缺,,,,,,
中国银行,2022,centralBankAdj,source_missing,三源均缺,,,,,,
中国银行,2022,liquidityCoverageRatio,available,,main,133.54,,,,
中国银行,2022,liquidityRatio,source_missing,三源均缺,,,,,,
中国银行,2022,loanDepositRatio,source_missing,三源均缺,,,,,,
中国银行,2023,roa,available,,main,0.8032,,,,
中国银行,2023,roe,available,,main,10.12,,,,
中国银行,2023,revenue,available,,main,62288900.0,62288900.0,,,
中国银行,2023,netProfit,available,,main,24637100.0,24637100.0,,,
中国银行,2023,coreRevenueGrowth,available,,main,2.34,,,,
中国银行,2023,revenueGrowth,available,,main,0.79,,,,
中国银行,2023,netProfitGrowth,available,,main,3.73,,,,
中国银行,2023,ppopGrowth,available,,main,-0.06,,,,
中国银行,2023,costIncomeRatio,available,,main,28.5,28.4967,,,
中国银行,2023,feeAssetRatio,available,,main,0.243169,0.2432,,,
中国银行,2023,trueCoreNonInterest,available,,main,12.6612,,,,
中国银行,2023,volatileIncomeShare,source_missing,三源均缺,,,,,,
中国银行,2023,cashProfitRatio,available,,main,331.38884,331.3888,,,
中国银行,2023,nim,available,,main,1.59,,,,
中国银行,2023,nimGapBp,available,,main,-21.0,,,,
中国银行,2023,nimGapPoint,calculation_input_missing,计算输入不足,,,,,,
中国银行,2023,earningAssetYield,available,,main,3.58,,,,
中国银行,2023,interestLiabilityCost,available,,main,2.18,,,,
中国银行,2023,realLoanDepositSpread,source_missing,三源均缺,,,,,,
中国银行,2023,timeDepositShare,available,,main,54.218331,,,,
中国银行,2023,corporateDemandDepositShare,available,,main,24.949251,,,,
中国银行,2023,personalDemandDepositShare,available,,main,16.733874,,,,
中国银行,2023,corporateTimeDeposit,available,,main,559246300.0,,,,
中国银行,2023,personalTimeDeposit,available,,main,666241700.0,,,,
中国银行,2023,npl,available,,main,1.27,,,,
中国银行,2023,provisionCoverage,available,,main,191.66,,,,
中国银行,2023,overdueRatio,available,,main,1.058,,,,
中国银行,2023,specialMentionRatio,available,,main,1.4579,,,,
中国银行,2023,overdueNplDeviation,available,,main,0.8331,,,,
中国银行,2023,hiddenNplExposure,available,,main,2.73,,,,
中国银行,2023,personalLoanNpl,available,,main,0.76,,,,
中国银行,2023,corporateLoanNpl,available,,main,1.48,,,,
中国银行,2023,housingLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2023,consumerLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2023,businessLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2023,creditCardLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2023,housingLoanShare,source_missing,三源均缺,,,,,,
中国银行,2023,consumerLoanShare,source_missing,三源均缺,,,,,,
中国银行,2023,businessLoanShare,source_missing,三源均缺,,,,,,
中国银行,2023,retailRiskMax,calculation_input_missing,计算输入不足,,,,,,
中国银行,2023,retailRiskSpread,calculation_input_missing,计算输入不足,,,,,,
中国银行,2023,pb,available,,main,0.5423,,,,
中国银行,2023,pbMid,available,,main,0.5462,,,,
中国银行,2023,peTtm,available,,tushare_market,,5.1245,,,
中国银行,2023,divYield,available,,tushare_market,,5.5388,,,
中国银行,2023,divYieldTtm,available,,tushare_market,,5.8145,,,
中国银行,2023,totalMarketValue,available,,tushare_market,,117460728.7052,,,
中国银行,2023,turnoverRate,available,,tushare_market,,0.0624,,,
中国银行,2023,cet1,available,,main,11.63,,,,
中国银行,2023,cet1Buffer,available,,main,413.0,,,,
中国银行,2023,carBuffer,available,,main,724.0,,,,
中国银行,2023,rwaDensity,available,,main,57.3117,,,,
中国银行,2023,estimatedRwa,available,,main,1858741826.0,,,,
中国银行,2023,estimatedRwaGrowth,available,,main,10.522577,,,,
中国银行,2023,rwaProfitGrowthGap,available,,main,6.792577,,,,
中国银行,2023,rwaAssetGrowthGap,available,,main,-1.645668,,,,
中国银行,2023,pbChange,available,,main,0.0801,,,,
中国银行,2023,bondInvestment,available,,main,686371800.0,,,,
中国银行,2023,fundInvestment,available,,main,10180300.0,,,,
中国银行,2023,trustWmInvestment,available,,main,2376100.0,,,,
中国银行,2023,tradAsset,available,,tushare,,55042100.0,,,
中国银行,2023,fvociAssets,source_missing,三源均缺,,,,,,
中国银行,2023,acAssets,source_missing,三源均缺,,,,,,
中国银行,2023,htmInvest,source_missing,三源均缺,,,,,,
中国银行,2023,afaAssets,source_missing,三源均缺,,,,,,
中国银行,2023,debtInvestment,source_missing,三源均缺,,,,,,
中国银行,2023,otherDebtInvestment,source_missing,三源均缺,,,,,,
中国银行,2023,investmentAssetRatio,available,,main,21.550463,,,,
中国银行,2023,fairValueChgGain,source_missing,三源均缺,,,,,,
中国银行,2023,fxGain,source_missing,三源均缺,,,,,,
中国银行,2023,investIncome,available,,tushare,,2517200.0,,,
中国银行,2023,otherNonInterestIncome,source_missing,三源均缺,,,,,,
中国银行,2023,otherAssetImpairLoss,source_missing,三源均缺,,,,,,
中国银行,2023,operatingCashFlow,available,,main,81644600.0,81644600.0,,,
中国银行,2023,cashflowInvAct,available,,tushare,,-53942800.0,,,
中国银行,2023,cashflowFncAct,available,,tushare,,11986200.0,,,
中国银行,2023,depositGrowthCF,source_missing,三源均缺,,,,,,
中国银行,2023,loanIssuanceCF,source_missing,三源均缺,,,,,,
中国银行,2023,centralBankAdj,source_missing,三源均缺,,,,,,
中国银行,2023,liquidityCoverageRatio,available,,main,135.3,,,,
中国银行,2023,liquidityRatio,source_missing,三源均缺,,,,,,
中国银行,2023,loanDepositRatio,source_missing,三源均缺,,,,,,
中国银行,2024,roa,available,,main,0.7489,,,,
中国银行,2024,roe,available,,main,9.5,,,,
中国银行,2024,revenue,available,,main,63009000.0,63009000.0,,,
中国银行,2024,netProfit,available,,main,25271900.0,25271900.0,,,
中国银行,2024,coreRevenueGrowth,available,,main,-3.65,,,,
中国银行,2024,revenueGrowth,available,,main,1.16,,,,
中国银行,2024,netProfitGrowth,available,,main,2.58,,,,
中国银行,2024,ppopGrowth,available,,main,0.76,,,,
中国银行,2024,costIncomeRatio,available,,main,28.77,28.7676,,,
中国银行,2024,feeAssetRatio,available,,main,0.218446,0.2184,,,
中国银行,2024,trueCoreNonInterest,available,,main,12.1554,,,,
中国银行,2024,volatileIncomeShare,source_missing,三源均缺,,,,,,
中国银行,2024,cashProfitRatio,available,,main,218.015266,218.0153,,,
中国银行,2024,nim,available,,main,1.4,,,,
中国银行,2024,nimGapBp,available,,main,-18.0,,,,
中国银行,2024,nimGapPoint,calculation_input_missing,计算输入不足,,,,,,
中国银行,2024,earningAssetYield,available,,main,3.34,,,,
中国银行,2024,interestLiabilityCost,available,,main,2.12,,,,
中国银行,2024,realLoanDepositSpread,source_missing,三源均缺,,,,,,
中国银行,2024,timeDepositShare,available,,main,55.667842,,,,
中国银行,2024,corporateDemandDepositShare,available,,main,23.14157,,,,
中国银行,2024,personalDemandDepositShare,available,,main,17.459228,,,,
中国银行,2024,corporateTimeDeposit,available,,main,595520300.0,,,,
中国银行,2024,personalTimeDeposit,available,,main,731869200.0,,,,
中国银行,2024,npl,available,,main,1.25,,,,
中国银行,2024,provisionCoverage,available,,main,200.6,,,,
中国银行,2024,overdueRatio,available,,main,1.1887,,,,
中国银行,2024,specialMentionRatio,available,,main,1.4689,,,,
中国银行,2024,overdueNplDeviation,available,,main,0.951,,,,
中国银行,2024,hiddenNplExposure,available,,main,2.72,,,,
中国银行,2024,personalLoanNpl,available,,main,0.97,,,,
中国银行,2024,corporateLoanNpl,available,,main,1.26,,,,
中国银行,2024,housingLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2024,consumerLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2024,businessLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2024,creditCardLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2024,housingLoanShare,source_missing,三源均缺,,,,,,
中国银行,2024,consumerLoanShare,source_missing,三源均缺,,,,,,
中国银行,2024,businessLoanShare,source_missing,三源均缺,,,,,,
中国银行,2024,retailRiskMax,calculation_input_missing,计算输入不足,,,,,,
中国银行,2024,retailRiskSpread,calculation_input_missing,计算输入不足,,,,,,
中国银行,2024,pb,available,,main,0.6895,,,,
中国银行,2024,pbMid,available,,main,0.5929,,,,
中国银行,2024,peTtm,available,,tushare_market,,6.9674,,,
中国银行,2024,divYield,available,,tushare_market,,4.2105,,,
中国银行,2024,divYieldTtm,available,,tushare_market,,4.2904,,,
中国银行,2024,totalMarketValue,available,,tushare_market,,162207672.9738,,,
中国银行,2024,turnoverRate,available,,tushare_market,,0.1157,,,
中国银行,2024,cet1,available,,main,12.2,,,,
中国银行,2024,cet1Buffer,available,,main,470.0,,,,
中国银行,2024,carBuffer,available,,main,826.0,,,,
中国银行,2024,rwaDensity,available,,main,54.8168,,,,
中国银行,2024,estimatedRwa,available,,main,1921946695.0,,,,
中国银行,2024,estimatedRwaGrowth,available,,main,3.400411,,,,
中国银行,2024,rwaProfitGrowthGap,available,,main,0.820411,,,,
中国银行,2024,rwaAssetGrowthGap,available,,main,-4.706149,,,,
中国银行,2024,pbChange,available,,main,0.1472,,,,
中国银行,2024,bondInvestment,available,,main,804022600.0,,,,
中国银行,2024,fundInvestment,available,,main,10372000.0,,,,
中国银行,2024,trustWmInvestment,available,,main,2464200.0,,,,
中国银行,2024,tradAsset,available,,tushare,,60029700.0,,,
中国银行,2024,fvociAssets,source_missing,三源均缺,,,,,,
中国银行,2024,acAssets,source_missing,三源均缺,,,,,,
中国银行,2024,htmInvest,source_missing,三源均缺,,,,,,
中国银行,2024,afaAssets,source_missing,三源均缺,,,,,,
中国银行,2024,debtInvestment,source_missing,三源均缺,,,,,,
中国银行,2024,otherDebtInvestment,source_missing,三源均缺,,,,,,
中国银行,2024,investmentAssetRatio,available,,main,23.298019,,,,
中国银行,2024,fairValueChgGain,source_missing,三源均缺,,,,,,
中国银行,2024,fxGain,source_missing,三源均缺,,,,,,
中国银行,2024,investIncome,available,,tushare,,4145300.0,,,
中国银行,2024,otherNonInterestIncome,source_missing,三源均缺,,,,,,
中国银行,2024,otherAssetImpairLoss,source_missing,三源均缺,,,,,,
中国银行,2024,operatingCashFlow,available,,main,55096600.0,55096600.0,,,
中国银行,2024,cashflowInvAct,available,,tushare,,-80598600.0,,,
中国银行,2024,cashflowFncAct,available,,tushare,,11186000.0,,,
中国银行,2024,depositGrowthCF,source_missing,三源均缺,,,,,,
中国银行,2024,loanIssuanceCF,source_missing,三源均缺,,,,,,
中国银行,2024,centralBankAdj,source_missing,三源均缺,,,,,,
中国银行,2024,liquidityCoverageRatio,available,,main,142.88,,,,
中国银行,2024,liquidityRatio,source_missing,三源均缺,,,,,,
中国银行,2024,loanDepositRatio,source_missing,三源均缺,,,,,,
中国银行,2025,roa,available,,main,0.7026,,,,
中国银行,2025,roe,available,,main,8.94,,,,
中国银行,2025,revenue,available,,main,65831000.0,,,,
中国银行,2025,netProfit,available,,main,25793600.0,,,,
中国银行,2025,coreRevenueGrowth,available,,main,-0.49,,,,
中国银行,2025,revenueGrowth,available,,main,4.48,,,,
中国银行,2025,netProfitGrowth,available,,main,2.06,,,,
中国银行,2025,ppopGrowth,available,,main,5.9,,,,
中国银行,2025,costIncomeRatio,available,,main,27.84,,,,
中国银行,2025,feeAssetRatio,available,,main,0.214393,,,,
中国银行,2025,trueCoreNonInterest,available,,main,12.4921,,,,
中国银行,2025,volatileIncomeShare,source_missing,三源均缺,,,,,,
中国银行,2025,cashProfitRatio,available,,main,314.818405,,,,
中国银行,2025,nim,available,,main,1.26,,,,
中国银行,2025,nimGapBp,available,,main,-12.0,,,,
中国银行,2025,nimGapPoint,calculation_input_missing,计算输入不足,,,,,,
中国银行,2025,earningAssetYield,available,,main,2.85,,,,
中国银行,2025,interestLiabilityCost,available,,main,1.75,,,,
中国银行,2025,realLoanDepositSpread,source_missing,三源均缺,,,,,,
中国银行,2025,timeDepositShare,available,,main,56.379877,,,,
中国银行,2025,corporateDemandDepositShare,available,,main,21.952266,,,,
中国银行,2025,personalDemandDepositShare,available,,main,17.135266,,,,
中国银行,2025,corporateTimeDeposit,available,,main,651507300.0,,,,
