bank_canonical,report_year,source_tables,database_rows,source_table_list
华夏银行,2025,14,373,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
南京,2025,14,421,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
厦门,2025,14,440,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
哈尔滨,2025,13,364,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
天津,2025,13,342,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
威海,2025,14,238,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
宁波,2025,14,365,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
宜宾市,2025,14,267,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
常熟农商行,2025,14,320,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
平安银行,2025,14,345,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
广州农商行,2025,13,396,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
张家港农商行,2025,14,494,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
徽商,2025,13,364,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
成都,2025,14,546,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
招商银行,2025,14,547,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
无锡农商行,2025,14,528,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
晋商,2025,14,273,晋商银行2025_extraction_status.csv;晋商银行2025_fee_commission_long.csv;晋商银行2025_financials_core_long.csv;晋商银行2025_ifrs9_stage_distribution_long.csv;晋商银行2025_liquidity_risk_long.csv;晋商银行2025_loan_5class_migration_long.csv;晋商银行2025_loan_npl_industry_long.csv;晋商银行2025_loan_npl_product_long.csv;晋商银行2025_loan_writeoff_long.csv;晋商银行2025_nim_long.csv;晋商银行2025_other_noninterest_income_long.csv;晋商银行2025_provision_long.csv;晋商银行2025_repricing_long.csv;晋商银行2025_special_metrics_long.csv
杭州,2025,14,301,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
民生银行,2025,14,740,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
江苏,2025,14,350,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
江西,2025,14,318,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
江阴,2025,14,597,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
泸州,2025,14,183,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
浙商银行,2025,14,470,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
浦发银行,2025,14,361,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
渤海银行,2025,14,333,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
瑞丰,2025,14,564,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
甘肃,2025,14,238,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
紫金农商行,2025,14,379,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
苏州,2025,14,353,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
苏州农商行,2025,14,341,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
西安,2025,14,333,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
贵州,2025,13,325,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
贵阳,2025,14,360,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
郑州,2025,14,462,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
重庆,2025,14,628,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
重庆农商行,2025,14,391,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
长沙,2025,14,325,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
青岛,2025,14,385,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
青岛农商行,2025,14,553,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
齐鲁,2025,14,282,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
