source_group,source_field,status,priority,recommendation
公司贷款分行业-占比(%),电力热力%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),建筑业%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),批发零售%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),交通运输%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),信息传输%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),住宿餐饮%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),金融业%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),房地产%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),租赁商务%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),科学研究%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),水利环境%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),居民服务%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),教育%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),卫生社会%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),文化体育%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),综合%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),其他服务%,未接入,中,对公行业集中度
公司贷款分行业-不良率(%),农林牧渔不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),采矿业不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),制造业不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),电力热力不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),建筑业不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),批发零售不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),交通运输不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),信息传输不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),住宿餐饮不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),金融业不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),房地产不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),租赁商务不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),科学研究不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),水利环境不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),居民服务不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),教育不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),卫生社会不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),文化体育不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),综合不良,未接入,中,行业风险暴露
公司贷款分行业-不良率(%),其他服务不良,未接入,中,行业风险暴露
金融投资分布(万元),金融投资总额,未接入,中,金融投资配置
金融投资分布(万元),债券合计,已接入,-,当前应用和治理字典已使用
金融投资分布(万元),政府债,未接入,中,金融投资配置
金融投资分布(万元),政金债,未接入,中,金融投资配置
金融投资分布(万元),金融债,未接入,中,金融投资配置
金融投资分布(万元),企业债,未接入,中,金融投资配置
金融投资分布(万元),同业存单,未接入,中,金融投资配置
金融投资分布(万元),ABS,未接入,中,金融投资配置
金融投资分布(万元),权益性投资,未接入,中,金融投资配置
金融投资分布(万元),基金,已接入,-,当前应用和治理字典已使用
金融投资分布(万元),信托及理财,已接入,-,当前应用和治理字典已使用
金融投资分布(万元),其他投资,未接入,中,金融投资配置
金融资产三阶段-贷款(万元/%),贷款一阶段余额,未接入,中,新金融工具三阶段风险
金融资产三阶段-贷款(万元/%),贷款一阶段占比%,未接入,中,新金融工具三阶段风险
金融资产三阶段-贷款(万元/%),贷款一阶段准备,未接入,中,新金融工具三阶段风险
金融资产三阶段-贷款(万元/%),贷款一阶段拨备%,未接入,中,新金融工具三阶段风险
金融资产三阶段-贷款(万元/%),贷款二阶段余额,未接入,中,新金融工具三阶段风险
金融资产三阶段-贷款(万元/%),贷款二阶段占比%,未接入,中,新金融工具三阶段风险
金融资产三阶段-贷款(万元/%),贷款二阶段准备,未接入,中,新金融工具三阶段风险
金融资产三阶段-贷款(万元/%),贷款二阶段拨备%,未接入,中,新金融工具三阶段风险
金融资产三阶段-贷款(万元/%),贷款三阶段余额,未接入,中,新金融工具三阶段风险
金融资产三阶段-贷款(万元/%),贷款三阶段占比%,未接入,中,新金融工具三阶段风险
金融资产三阶段-贷款(万元/%),贷款三阶段准备,未接入,中,新金融工具三阶段风险
金融资产三阶段-贷款(万元/%),贷款三阶段拨备%,未接入,中,新金融工具三阶段风险
金融资产三阶段-金融投资(万元/%),投资一阶段余额,未接入,中,投资资产三阶段风险
金融资产三阶段-金融投资(万元/%),投资一阶段占比%,未接入,中,投资资产三阶段风险
金融资产三阶段-金融投资(万元/%),投资一阶段准备,未接入,中,投资资产三阶段风险
金融资产三阶段-金融投资(万元/%),投资一阶段拨备%,未接入,中,投资资产三阶段风险
金融资产三阶段-金融投资(万元/%),投资二阶段余额,未接入,中,投资资产三阶段风险
金融资产三阶段-金融投资(万元/%),投资二阶段占比%,未接入,中,投资资产三阶段风险
金融资产三阶段-金融投资(万元/%),投资二阶段准备,未接入,中,投资资产三阶段风险
金融资产三阶段-金融投资(万元/%),投资二阶段拨备%,未接入,中,投资资产三阶段风险
金融资产三阶段-金融投资(万元/%),投资三阶段余额,未接入,中,投资资产三阶段风险
金融资产三阶段-金融投资(万元/%),投资三阶段占比%,未接入,中,投资资产三阶段风险
金融资产三阶段-金融投资(万元/%),投资三阶段准备,未接入,中,投资资产三阶段风险
金融资产三阶段-金融投资(万元/%),投资三阶段拨备%,未接入,中,投资资产三阶段风险
金融资产三阶段-合计(万元/%),合计一阶段余额,未接入,中,全资产三阶段风险
金融资产三阶段-合计(万元/%),合计一阶段占比%,未接入,中,全资产三阶段风险
金融资产三阶段-合计(万元/%),合计一阶段准备,未接入,中,全资产三阶段风险
金融资产三阶段-合计(万元/%),合计一阶段拨备%,未接入,中,全资产三阶段风险
金融资产三阶段-合计(万元/%),合计二阶段余额,未接入,中,全资产三阶段风险
金融资产三阶段-合计(万元/%),合计二阶段占比%,未接入,中,全资产三阶段风险
金融资产三阶段-合计(万元/%),合计二阶段准备,未接入,中,全资产三阶段风险
金融资产三阶段-合计(万元/%),合计二阶段拨备%,未接入,中,全资产三阶段风险
金融资产三阶段-合计(万元/%),合计三阶段余额,未接入,中,全资产三阶段风险
金融资产三阶段-合计(万元/%),合计三阶段占比%,未接入,中,全资产三阶段风险
金融资产三阶段-合计(万元/%),合计三阶段准备,未接入,中,全资产三阶段风险
金融资产三阶段-合计(万元/%),合计三阶段拨备%,未接入,中,全资产三阶段风险
利润表详情(万元),利息收入,已接入,-,当前应用和治理字典已使用
利润表详情(万元),利息支出,已接入,-,当前应用和治理字典已使用
利润表详情(万元),手续费收入,未接入,中,利润表归因
利润表详情(万元),手续费支出,未接入,中,利润表归因
利润表详情(万元),管理费用,已接入,-,当前应用和治理字典已使用
利润表详情(万元),营业税费,未接入,中,利润表归因
利润表详情(万元),营业支出,未接入,中,利润表归因
利润表详情(万元),营业利润,未接入,中,利润表归因
利润表详情(万元),营业外收入,未接入,中,利润表归因
利润表详情(万元),营业外支出,未接入,中,利润表归因
利润表详情(万元),利润总额,未接入,中,利润表归因
利润表详情(万元),所得税,已接入,-,当前应用和治理字典已使用
利润表详情(万元),少数股东损益,未接入,中,利润表归因
资产负债-金融资产(万元),FVTPL金融资产,未接入,中,金融资产结构
资产负债-金融资产(万元),FVOCI金融资产,未接入,中,金融资产结构
资产负债-金融资产(万元),AC金融资产,未接入,中,金融资产结构
资产负债-金融资产(万元),应收利息,未接入,中,金融资产结构
资产负债-金融资产(万元),固定资产,未接入,中,金融资产结构
资产负债-同业往来(万元),存放同业,未接入,中,同业与流动性配置
资产负债-同业往来(万元),拆出资金,未接入,中,同业与流动性配置
资产负债-同业往来(万元),同业存放,未接入,中,同业与流动性配置
资产负债-同业往来(万元),向央行借款,未接入,中,同业与流动性配置
资产负债-同业往来(万元),拆入资金,未接入,中,同业与流动性配置
资产负债-同业往来(万元),现金及准备金,未接入,中,同业与流动性配置
资产负债-权益构成(万元),股本,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产负债-权益构成(万元),资本公积,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产负债-权益构成(万元),盈余公积,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产负债-权益构成(万元),未分配利润,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产负债-权益构成(万元),一般风险准备,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产负债-权益构成(万元),归母权益合计,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产负债-权益构成(万元),所有者权益合计,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产负债-权益构成(万元),负债及权益总计,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产负债-权益构成(万元),应交税费,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产负债-权益构成(万元),应付利息,未接入,暂缓,暂不进入董办首版，可保留在底层明细
现金流量(万元),经营活动净额,已接入,-,当前应用和治理字典已使用
现金流量(万元),投资活动净额,未接入,中,现金流与经营质量
现金流量(万元),筹资活动净额,未接入,中,现金流与经营质量
每股指标,基本EPS(元),已接入,-,当前应用和治理字典已使用
估值指标,PB(年末),已接入,-,当前应用和治理字典已使用
估值指标,PB(年中),已接入,-,当前应用和治理字典已使用
