table,field,rows,non_null,coverage,dtype
cashflow,credit_impa_loss,1296,478,0.36882716049382713,float64
cashflow,use_right_asset_dep,1296,243,0.1875,float64
cashflow,oth_loss_asset,1296,85,0.06558641975308642,float64
cashflow,end_bal_cash,1296,657,0.5069444444444444,float64
cashflow,beg_bal_cash,1296,657,0.5069444444444444,float64
cashflow,end_bal_cash_equ,1296,247,0.19058641975308643,float64
cashflow,beg_bal_cash_equ,1296,247,0.19058641975308643,float64
cashflow,update_flag,1296,1296,1.0,object
fina_indicator,ts_code,1633,1633,1.0,object
fina_indicator,ann_date,1633,1633,1.0,object
fina_indicator,end_date,1633,1633,1.0,object
fina_indicator,eps,1633,1563,0.9571341090018372,float64
fina_indicator,dt_eps,1633,1507,0.9228413962033069,float64
fina_indicator,total_revenue_ps,1633,1621,0.992651561543172,float64
fina_indicator,revenue_ps,1633,1621,0.992651561543172,float64
fina_indicator,capital_rese_ps,1633,1622,0.9932639314145744,float64
fina_indicator,surplus_rese_ps,1633,1620,0.9920391916717698,float64
fina_indicator,undist_profit_ps,1633,1622,0.9932639314145744,float64
fina_indicator,extra_item,1633,1561,0.9559093692590325,float64
fina_indicator,profit_dedt,1633,1561,0.9559093692590325,float64
fina_indicator,gross_margin,1633,0,0.0,object
fina_indicator,current_ratio,1633,6,0.003674219228413962,float64
fina_indicator,quick_ratio,1633,0,0.0,object
fina_indicator,cash_ratio,1633,0,0.0,object
fina_indicator,ar_turn,1633,0,0.0,object
fina_indicator,ca_turn,1633,0,0.0,object
fina_indicator,fa_turn,1633,0,0.0,object
fina_indicator,assets_turn,1633,1621,0.992651561543172,float64
fina_indicator,op_income,1633,1633,1.0,float64
fina_indicator,ebit,1633,0,0.0,object
fina_indicator,ebitda,1633,0,0.0,object
fina_indicator,fcff,1633,250,0.15309246785058175,float64
fina_indicator,fcfe,1633,0,0.0,object
fina_indicator,current_exint,1633,0,0.0,object
fina_indicator,noncurrent_exint,1633,0,0.0,object
fina_indicator,interestdebt,1633,0,0.0,object
fina_indicator,netdebt,1633,0,0.0,object
fina_indicator,tangible_asset,1633,0,0.0,object
fina_indicator,working_capital,1633,0,0.0,object
fina_indicator,networking_capital,1633,0,0.0,object
fina_indicator,invest_capital,1633,0,0.0,object
fina_indicator,retained_earnings,1633,1622,0.9932639314145744,float64
fina_indicator,diluted2_eps,1633,1622,0.9932639314145744,float64
fina_indicator,bps,1633,1622,0.9932639314145744,float64
fina_indicator,ocfps,1633,1617,0.9902020820575628,float64
fina_indicator,retainedps,1633,1622,0.9932639314145744,float64
fina_indicator,cfps,1633,1617,0.9902020820575628,float64
fina_indicator,ebit_ps,1633,0,0.0,object
fina_indicator,fcff_ps,1633,0,0.0,object
fina_indicator,fcfe_ps,1633,0,0.0,object
fina_indicator,netprofit_margin,1633,1632,0.9993876301285977,float64
fina_indicator,grossprofit_margin,1633,0,0.0,object
fina_indicator,cogs_of_sales,1633,0,0.0,object
fina_indicator,expense_of_sales,1633,0,0.0,object
fina_indicator,profit_to_gr,1633,1632,0.9993876301285977,float64
fina_indicator,saleexp_to_gr,1633,0,0.0,object
fina_indicator,adminexp_of_gr,1633,1632,0.9993876301285977,float64
fina_indicator,finaexp_of_gr,1633,0,0.0,object
fina_indicator,impai_ttm,1633,102,0.062461726883037354,float64
fina_indicator,gc_of_gr,1633,0,0.0,object
fina_indicator,op_of_gr,1633,1632,0.9993876301285977,float64
fina_indicator,ebit_of_gr,1633,0,0.0,object
fina_indicator,roe,1633,1633,1.0,float64
fina_indicator,roe_waa,1633,1559,0.9546846295162278,float64
fina_indicator,roe_dt,1633,1561,0.9559093692590325,float64
fina_indicator,roa,1633,0,0.0,object
fina_indicator,npta,1633,1633,1.0,float64
fina_indicator,roic,1633,0,0.0,object
fina_indicator,roe_yearly,1633,1633,1.0,float64
fina_indicator,roa2_yearly,1633,0,0.0,object
fina_indicator,debt_to_assets,1633,1622,0.9932639314145744,float64
fina_indicator,assets_to_eqt,1633,1622,0.9932639314145744,float64
fina_indicator,dp_assets_to_eqt,1633,1622,0.9932639314145744,float64
fina_indicator,ca_to_assets,1633,0,0.0,object
fina_indicator,nca_to_assets,1633,0,0.0,object
fina_indicator,tbassets_to_totalassets,1633,0,0.0,object
fina_indicator,int_to_talcap,1633,0,0.0,object
fina_indicator,eqt_to_talcapital,1633,0,0.0,object
fina_indicator,currentdebt_to_debt,1633,0,0.0,object
fina_indicator,longdeb_to_debt,1633,0,0.0,object
fina_indicator,ocf_to_shortdebt,1633,0,0.0,object
fina_indicator,debt_to_eqt,1633,1622,0.9932639314145744,float64
fina_indicator,eqt_to_debt,1633,1622,0.9932639314145744,float64
fina_indicator,eqt_to_interestdebt,1633,0,0.0,object
fina_indicator,tangibleasset_to_debt,1633,0,0.0,object
fina_indicator,tangasset_to_intdebt,1633,0,0.0,object
fina_indicator,tangibleasset_to_netdebt,1633,0,0.0,object
fina_indicator,ocf_to_debt,1633,1617,0.9902020820575628,float64
fina_indicator,turn_days,1633,0,0.0,object
fina_indicator,roa_yearly,1633,1633,1.0,float64
fina_indicator,roa_dp,1633,1622,0.9932639314145744,float64
fina_indicator,fixed_assets,1633,1622,0.9932639314145744,float64
fina_indicator,profit_to_op,1633,1632,0.9993876301285977,float64
fina_indicator,q_saleexp_to_gr,1633,0,0.0,object
fina_indicator,q_gc_to_gr,1633,0,0.0,object
fina_indicator,q_roe,1633,1629,0.9975505205143906,float64
fina_indicator,q_dt_roe,1633,1549,0.9485609308022045,float64
fina_indicator,q_npta,1633,1629,0.9975505205143906,float64
fina_indicator,q_ocf_to_sales,1633,1622,0.9932639314145744,float64
fina_indicator,basic_eps_yoy,1633,1602,0.9810165339865279,float64
fina_indicator,dt_eps_yoy,1633,1544,0.9454990814451929,float64
fina_indicator,cfps_yoy,1633,1597,0.9779546846295162,float64
fina_indicator,op_yoy,1633,1621,0.992651561543172,float64
fina_indicator,ebt_yoy,1633,1621,0.992651561543172,float64
fina_indicator,netprofit_yoy,1633,1621,0.992651561543172,float64
fina_indicator,dt_netprofit_yoy,1633,1549,0.9485609308022045,float64
fina_indicator,ocf_yoy,1633,1609,0.9853031230863442,float64
fina_indicator,roe_yoy,1633,1608,0.9846907532149418,float64
fina_indicator,bps_yoy,1633,1622,0.9932639314145744,float64
fina_indicator,assets_yoy,1633,1622,0.9932639314145744,float64
fina_indicator,eqt_yoy,1633,1622,0.9932639314145744,float64
fina_indicator,tr_yoy,1633,1620,0.9920391916717698,float64
fina_indicator,or_yoy,1633,1620,0.9920391916717698,float64
fina_indicator,q_sales_yoy,1633,1612,0.9871402327005512,float64
fina_indicator,q_op_qoq,1633,1633,1.0,float64
fina_indicator,equity_yoy,1633,1608,0.9846907532149418,float64
daily_basic,ts_code,2889,2889,1.0,object
daily_basic,trade_date,2889,2889,1.0,object
daily_basic,close,2889,2889,1.0,float64
daily_basic,pe,2889,2889,1.0,float64
daily_basic,pe_ttm,2889,2889,1.0,float64
daily_basic,pb,2889,2889,1.0,float64
daily_basic,ps_ttm,2889,2889,1.0,float64
daily_basic,total_mv,2889,2889,1.0,float64
daily_basic,circ_mv,2889,2889,1.0,float64
daily_basic,turnover_rate,2889,2889,1.0,float64
daily_basic,dv_ratio,2889,2781,0.9626168224299065,float64
daily_basic,dv_ttm,2889,2727,0.9439252336448598,float64
